,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,06000001,5.20,4.75,4.20,,,,,6.25,7.00,9.00,7.42
1,06000002,2.60,5.50,3.40,,,,,4.00,7.50,7.75,6.42
2,06000003,4.20,4.75,2.40,,,,,5.75,8.00,7.50,7.08
3,06000004,2.80,7.75,1.60,,,,,3.50,6.25,6.25,5.33
4,06000005,2.20,5.00,,,,,,2.75,3.75,,2.17
5,06000006,3.60,6.25,2.80,,,,,3.25,6.75,3.50,4.50
6,06000007,4.00,6.75,2.80,,,,,4.00,6.00,7.25,5.75
7,06000008,2.60,4.00,2.20,,,,,2.75,3.50,5.75,4.00
8,06000009,4.40,7.00,3.20,,,,,7.25,8.00,8.50,7.92
9,06000010,3.60,3.25,2.80,,,,,3.00,6.75,7.75,5.83
10,06000011,4.60,3.50,4.60,,,,,6.25,8.25,9.25,7.92
11,06000012,7.20,6.50,3.20,,,,,8.75,7.50,8.75,8.33
12,06000013,3.00,4.25,2.00,,,,,4.00,5.00,6.00,5.00
13,06000014,4.80,5.00,2.80,,,,,5.75,7.00,7.25,6.67
14,06000015,3.60,5.00,2.80,,,,,4.00,6.75,6.75,5.83
15,06000016,3.80,3.50,1.60,,,,,3.25,4.00,4.50,3.92
16,06000017,5.60,7.50,2.60,,,,,6.25,7.00,9.25,7.50
17,06000018,4.80,5.00,3.20,2.50,4.25,4.25,3.67,,,,
18,06000019,3.40,4.75,3.00,,,,,2.75,7.25,6.25,5.42
19,06000020,6.20,5.50,3.40,,,,,4.00,7.50,7.75,6.42
20,06000021,4.80,4.50,2.20,,,,,5.25,7.75,8.50,7.17
21,06000022,2.80,3.50,2.40,,,,,4.50,5.75,5.25,5.17
22,06000023,3.00,4.00,,,,,,5.00,,,1.67
23,06000024,4.20,5.00,2.60,,,,,4.50,7.25,6.75,6.17
24,06000025,2.80,4.00,,,,,,3.00,7.75,,3.58
