,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,59000001,5.60,7.75,4.20,5.50,4.25,4.75,4.83,,,,
1,59000002,8.00,9.00,5.00,4.00,5.00,5.00,4.67,,,,
2,59000003,8.60,8.75,8.40,,,,,6.50,8.25,8.50,7.75
3,59000004,7.40,8.75,8.40,,,,,5.25,7.50,9.25,7.33
4,59000005,9.40,8.75,6.00,5.00,8.00,7.25,6.75,,,,
5,59000006,5.20,8.25,7.60,,,,,8.50,7.75,8.75,8.33
6,59000007,8.60,5.50,8.20,6.50,6.25,5.50,6.08,,,,
7,59000008,9.00,8.75,8.80,4.00,7.75,4.50,5.42,,,,
8,59000009,8.20,7.75,4.40,6.00,6.50,6.75,6.42,,,,
9,59000010,9.20,8.00,6.80,6.75,8.75,7.50,7.67,,,,
10,59000011,7.40,8.75,8.80,,,,,5.25,8.00,9.00,7.42
11,59000012,9.40,8.00,4.60,4.75,8.75,8.75,7.42,,,,
12,59000013,8.60,8.00,4.40,5.25,8.75,8.25,7.42,,,,
13,59000014,9.00,8.50,8.00,,,,,6.50,7.75,9.75,8.00
14,59000015,7.60,8.50,8.40,,,,,9.50,8.50,8.75,8.92
15,59000016,9.20,8.50,8.40,8.50,7.50,6.00,7.33,,,,
16,59000017,8.00,9.25,7.20,,,,,5.50,7.00,8.25,6.92
17,59000018,7.20,9.50,8.40,,,,,8.75,6.75,9.25,8.25
18,59000019,8.40,9.25,8.20,,,,,4.50,6.25,7.50,6.08
19,59000020,8.40,8.75,6.20,,,,,6.25,9.00,9.00,8.08
20,59000021,8.20,8.50,9.00,8.00,6.75,5.50,6.75,,,,
21,59000022,8.80,6.75,8.20,7.75,6.75,3.75,6.08,,,,
22,59000023,8.20,7.75,9.00,7.75,7.75,7.00,7.50,,,,
23,59000024,7.20,7.00,4.60,5.25,6.75,4.75,5.58,,,,
24,59000025,9.60,7.50,5.60,7.25,9.50,8.75,8.50,,,,
25,59000026,8.80,8.00,,8.00,8.50,7.25,7.92,,,,
26,59000027,9.00,8.50,8.20,7.75,7.00,6.75,7.17,,,,
27,59000028,7.00,8.00,3.00,5.75,4.75,5.00,5.17,,,,
28,59000029,8.80,8.75,8.40,6.50,6.50,6.25,6.42,,,,
29,59000030,8.80,8.75,5.80,7.00,9.00,8.00,8.00,,,,
30,59000031,8.40,7.50,6.80,7.25,6.50,5.25,6.33,,,,
31,59000032,7.00,7.50,2.00,,,,,4.00,7.50,7.75,6.42
32,59000033,8.20,7.50,6.00,5.75,8.50,8.50,7.58,,,,
33,59000034,6.60,7.50,3.20,,,,,3.00,5.75,9.00,5.92
34,59000035,8.20,7.00,8.60,,,,,3.75,7.50,8.25,6.50
35,59000036,9.00,7.50,4.40,8.25,9.00,6.00,7.75,,,,
36,59000037,7.80,9.50,6.80,,,,,4.25,6.25,8.25,6.25
37,59000038,5.00,6.75,3.00,,,,,2.75,5.00,6.75,4.83
38,59000039,6.60,7.00,3.20,,,,,5.00,6.75,8.75,6.83
39,59000040,5.60,6.75,2.60,,,,,6.25,8.00,9.50,7.92
40,59000041,7.00,7.75,5.60,4.50,6.25,3.50,4.75,,,,
41,59000042,4.00,7.00,3.20,,,,,4.00,5.75,8.00,5.92
42,59000043,8.00,7.50,6.60,5.25,8.75,4.00,6.00,,,,
43,59000044,7.40,7.00,2.20,,,,,3.75,8.50,7.75,6.67
44,59000045,7.40,7.00,8.40,5.50,4.75,6.00,5.42,,,,
45,59000046,8.60,6.58,6.80,6.25,5.50,7.00,6.25,,,,
46,59000047,3.20,6.25,2.60,,,,,5.50,5.25,5.75,5.50
47,59000048,7.40,8.75,4.60,5.00,7.50,7.75,6.75,,,,
48,59000049,8.20,8.50,8.00,,,,,6.75,8.00,8.00,7.58
49,59000050,7.20,7.75,3.60,,,,,2.75,7.50,8.25,6.17
50,59000051,8.40,8.50,7.20,7.75,5.50,5.00,6.08,,,,
51,59000052,7.00,7.00,3.80,6.50,6.25,6.00,6.25,,,,
52,59000053,5.00,5.00,2.80,,,,,4.75,6.25,7.25,6.08
53,59000054,7.60,8.25,3.80,5.50,5.75,4.00,5.08,,,,
54,59000055,8.80,6.50,5.20,6.25,7.50,7.00,6.92,,,,
55,59000056,7.80,8.00,4.40,7.25,3.50,4.50,5.08,,,,
56,59000057,8.80,8.00,9.00,9.00,7.00,4.50,6.83,,,,
57,59000058,8.40,5.50,6.00,5.00,9.00,8.75,7.58,,,,
58,59000059,7.00,9.00,6.40,2.50,7.00,6.75,5.42,,,,
59,59000060,8.60,9.00,8.80,7.50,6.75,5.25,6.50,,,,
60,59000061,7.60,7.75,8.80,7.00,6.50,6.00,6.50,,,,
61,59000062,8.20,8.50,5.40,5.50,6.75,7.75,6.67,,,,
62,59000063,8.00,7.75,8.00,7.75,7.00,7.00,7.25,,,,
63,59000064,8.20,7.50,5.00,6.25,8.25,6.25,6.92,,,,
64,59000065,8.60,7.75,5.20,6.25,8.00,7.25,7.17,,,,
65,59000066,8.40,7.50,8.60,8.00,6.50,5.75,6.75,,,,
66,59000067,9.60,7.00,5.00,8.25,8.25,4.50,7.00,,,,
67,59000068,6.80,7.75,3.00,,,,,4.75,7.25,9.25,7.08
68,59000069,7.80,6.75,4.80,7.00,5.00,5.00,5.67,,,,
69,59000070,7.20,7.50,3.00,,,,,4.00,5.25,9.00,6.08
70,59000071,9.60,7.00,8.00,7.50,8.75,8.00,8.08,,,,
71,59000072,9.20,7.00,7.80,8.50,7.00,6.00,7.17,,,,
72,59000073,8.60,8.25,8.60,9.25,7.25,7.00,7.83,,,,
73,59000074,9.00,7.00,5.20,8.25,8.25,4.50,7.00,,,,
74,59000075,7.20,8.75,6.60,4.25,5.00,6.00,5.08,,,,
75,59000076,9.40,5.00,4.60,7.50,9.00,4.50,7.00,,,,
76,59000077,4.40,6.00,4.20,,,,,4.00,6.25,7.25,5.83
77,59000078,5.20,8.25,2.20,,,,,3.50,6.00,7.50,5.67
78,59000079,8.40,7.75,7.60,3.75,7.50,4.75,5.33,,,,
79,59000080,7.00,7.25,3.20,,,,,4.25,6.50,8.00,6.25
80,59000081,7.60,7.75,6.60,,,,,4.75,7.75,9.00,7.17
81,59000082,8.40,8.50,9.20,,,,,5.75,7.00,8.50,7.08
82,59000083,8.80,8.00,8.40,8.50,6.75,7.50,7.58,,,,
83,59000084,8.00,8.75,8.60,,,,,6.50,7.25,8.75,7.50
84,59000085,6.80,9.25,6.60,,,,,4.50,6.00,7.00,5.83
85,59000086,8.60,8.50,8.20,8.25,6.50,5.75,6.83,,,,
86,59000087,7.80,8.00,3.80,5.25,6.00,7.50,6.25,,,,
87,59000088,7.20,8.00,3.60,6.50,5.75,5.50,5.92,,,,
88,59000089,7.20,8.50,5.20,,,,,5.00,6.50,8.75,6.75
89,59000090,8.00,8.50,6.40,,,,,4.50,7.00,7.00,6.17
90,59000091,7.80,7.50,3.80,4.75,6.00,6.00,5.58,,,,
91,59000092,7.80,8.00,9.40,,,,,4.75,6.25,8.25,6.42
92,59000093,8.60,8.25,7.80,4.50,8.00,8.25,6.92,,,,
93,59000094,8.60,8.75,7.40,,,,,4.25,6.50,8.00,6.25
94,59000095,8.60,7.75,7.80,8.00,7.75,3.50,6.42,,,,
95,59000096,8.80,8.25,6.00,2.75,7.75,8.75,6.42,,,,
96,59000097,8.80,7.50,8.20,,,,,6.75,8.50,9.00,8.08
97,59000098,8.60,8.00,8.60,3.25,6.00,6.00,5.08,,,,
98,59000099,8.20,7.00,5.40,,,,,4.25,6.50,8.50,6.42
99,59000100,6.00,6.75,3.40,,,,,5.00,7.00,8.75,6.92
100,59000101,6.00,7.75,7.40,,,,,7.75,8.25,7.75,7.92
101,59000102,6.40,6.50,2.80,,,,,5.00,8.00,8.50,7.17
102,59000103,8.00,7.00,7.60,7.25,5.75,4.25,5.75,,,,
103,59000104,5.00,9.00,6.60,,,,,9.00,5.50,7.50,7.33
104,59000105,9.00,7.00,6.20,8.25,9.00,6.50,7.92,,,,
