,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,46000001,8.20,7.25,6.80,7.00,5.75,4.00,5.58,,,,
1,46000002,7.20,7.25,2.80,,,,,5.00,7.25,7.25,6.50
2,46000003,8.20,8.50,7.00,,,,,6.50,7.00,9.25,7.58
3,46000004,9.00,6.75,7.60,9.75,6.75,5.50,7.33,,,,
4,46000005,5.40,7.00,2.20,,,,,4.75,6.00,8.00,6.25
5,46000006,6.80,6.50,4.20,,,,,6.50,7.50,9.00,7.67
6,46000007,6.60,7.50,3.20,,,,,6.00,8.00,8.75,7.58
7,46000008,2.60,6.00,,,,,,3.50,6.25,,3.25
8,46000009,8.40,7.50,4.20,5.25,4.00,5.25,4.83,,,,
9,46000010,7.60,6.25,5.80,4.25,3.50,7.75,5.17,,,,
10,46000011,8.20,7.75,6.00,,,,,6.25,6.75,7.50,6.83
11,46000012,5.80,7.75,4.60,,,,,4.00,6.75,9.25,6.67
12,46000013,8.60,7.00,5.40,,,,,5.25,8.25,7.25,6.92
13,46000014,8.60,7.75,9.80,8.00,7.00,6.25,7.08,,,,
14,46000015,8.00,7.00,8.40,8.00,6.75,7.00,7.25,,,,
15,46000016,6.40,6.25,,,,,,3.25,,,1.08
16,46000017,8.20,7.50,6.40,7.75,6.50,6.50,6.92,,,,
17,46000018,2.60,6.50,3.40,,,,,4.25,5.00,5.50,4.92
18,46000019,6.00,7.50,2.60,,,,,4.50,7.75,9.00,7.08
19,46000020,8.60,6.75,,,,,,7.25,,,2.42
20,46000021,5.40,7.00,2.40,,,,,5.50,7.75,9.00,7.42
21,46000022,7.40,6.50,4.80,7.75,6.50,3.75,6.00,,,,
22,46000023,6.60,6.50,4.60,5.75,5.50,6.00,5.75,,,,
23,46000024,7.80,7.50,,,,,,6.50,,,2.17
24,46000025,6.20,5.75,5.80,,,,,4.25,7.75,9.50,7.17
25,46000026,7.40,7.50,3.80,,,,,6.50,6.75,7.75,7.00
26,46000027,4.60,6.75,2.80,,,,,4.50,7.50,8.50,6.83
