,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,52000001,9.60,8.75,,6.75,9.00,8.00,7.92,,,,
1,52000002,7.40,8.25,8.60,,,,,,,,
2,52000003,8.40,9.00,9.20,,,,,6.50,8.00,9.00,7.83
3,52000004,9.00,8.50,8.60,,,,,8.25,7.50,9.75,8.50
4,52000005,6.60,7.00,,6.25,4.75,5.50,5.50,,,,
5,52000006,8.20,7.75,6.00,8.25,8.00,3.75,6.67,,,,
6,52000007,9.40,8.50,8.80,9.00,7.75,7.50,8.08,,,,
7,52000008,6.60,7.50,6.00,,,,,5.50,5.50,7.25,6.08
8,52000009,8.20,8.75,9.80,,,,,4.50,8.50,8.50,7.17
9,52000010,8.20,6.75,6.20,,,,,7.50,6.75,8.50,7.58
10,52000011,7.20,8.25,8.20,,,,,6.75,8.00,8.25,7.67
11,52000012,8.00,7.00,4.80,6.50,8.25,6.50,7.08,,,,
12,52000013,7.80,7.75,6.20,7.25,8.00,6.25,7.17,,,,
13,52000014,8.40,8.25,7.80,,,,,7.50,7.25,9.25,8.00
14,52000015,8.60,7.75,6.40,8.25,6.50,4.25,6.33,,,,
15,52000016,6.60,6.92,3.80,,,,,5.50,7.75,9.25,7.50
16,52000017,8.00,8.50,8.80,7.50,6.25,6.25,6.67,,,,
17,52000018,7.60,8.00,5.20,,,,,6.50,7.00,8.25,7.25
18,52000019,8.00,8.25,4.60,8.00,8.25,5.25,7.17,,,,
19,52000020,8.60,8.00,7.20,7.75,7.25,6.50,7.17,,,,
20,52000021,9.20,8.00,9.00,8.50,6.75,7.50,7.58,,,,
21,52000022,8.20,9.25,9.80,,,,,8.25,9.25,9.25,8.92
22,52000023,8.40,8.00,5.60,,,,,5.25,6.75,8.50,6.83
23,52000024,6.60,6.75,3.80,,,,,6.00,6.75,8.50,7.08
24,52000025,4.00,7.00,2.80,,,,,4.00,5.00,6.75,5.25
25,52000026,9.00,8.00,5.80,8.25,8.00,6.75,7.67,,,,
26,52000027,9.00,8.25,7.00,7.50,7.50,6.50,7.17,,,,
27,52000028,6.00,7.75,3.80,,,,,5.75,5.50,7.25,6.17
28,52000029,7.40,8.50,,,,,,6.25,8.00,9.00,7.75
29,52000030,7.60,8.50,7.80,,,,,4.75,6.75,7.75,6.42
30,52000031,9.00,7.50,6.20,7.50,5.50,5.25,6.08,,,,
31,52000032,8.60,8.75,9.60,,,,,9.00,7.75,9.25,8.67
32,52000033,7.40,7.25,3.80,4.25,6.25,4.25,4.92,,,,
33,52000034,9.40,8.00,,8.00,8.25,8.50,8.25,,,,
34,52000035,6.20,6.25,2.40,,,,,3.75,5.50,8.75,6.00
35,52000036,8.20,8.00,7.60,7.50,8.00,7.25,7.58,,,,
36,52000037,7.60,8.50,5.20,,,,,5.00,6.75,6.50,6.08
37,52000038,8.60,8.00,6.20,6.25,4.50,4.75,5.17,,,,
