,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,47000001,8.20,6.75,5.80,7.25,7.25,4.50,6.33,,,,
1,47000002,8.60,6.00,6.20,7.25,7.00,3.50,5.92,,,,
2,47000003,6.80,7.75,3.80,,,,,4.25,7.25,7.75,6.42
3,47000004,7.80,6.50,6.80,4.50,7.00,5.75,5.75,,,,
4,47000005,8.60,7.25,5.00,5.50,7.75,5.50,6.25,,,,
5,47000006,6.40,7.50,4.20,,,,,6.00,6.25,8.50,6.92
6,47000007,7.40,7.75,4.40,7.25,7.25,4.50,6.33,,,,
7,47000008,6.00,7.25,6.40,,,,,4.00,7.25,8.50,6.58
8,47000009,8.80,8.00,4.40,7.25,7.25,5.00,6.50,,,,
9,47000010,5.60,6.25,3.20,,,,,3.00,6.00,7.00,5.33
10,47000011,5.60,6.75,3.00,7.00,3.50,4.50,5.00,,,,
11,47000012,7.80,7.50,7.60,3.25,5.75,5.00,4.67,,,,
12,47000013,7.80,6.25,5.20,6.25,5.50,5.00,5.58,,,,
13,47000014,9.20,4.00,5.00,7.75,8.75,5.50,7.33,,,,
14,47000015,7.80,7.50,6.20,,,,,,,,
15,47000016,8.40,6.00,3.20,8.00,6.75,5.25,6.67,,,,
16,47000017,7.80,7.25,7.00,7.50,6.50,6.25,6.75,,,,
17,47000018,8.60,7.25,7.20,7.00,7.00,4.50,6.17,,,,
18,47000019,8.40,7.00,7.40,7.25,6.00,5.00,6.08,,,,
19,47000020,6.60,8.25,4.00,,,,,4.00,6.00,7.50,5.83
20,47000021,3.80,5.50,,,,,,5.00,6.50,,3.83
21,47000022,4.80,7.25,,,,,,4.50,7.50,,4.00
22,47000023,7.80,7.50,6.00,,,,,7.75,7.75,8.75,8.08
23,47000024,7.20,7.00,6.40,,,,,8.50,6.25,8.25,7.67
24,47000025,6.60,8.00,7.60,,,,,7.25,6.75,8.00,7.33
25,47000026,8.60,8.00,7.40,,,,,7.50,8.25,9.75,8.50
26,47000027,8.20,7.25,6.80,,,,,6.75,8.75,8.50,8.00
