,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,64000001,3.40,4.75,1.80,,,,,2.50,4.75,5.75,4.33
1,64000002,7.60,7.75,4.40,,,,,8.75,8.00,9.50,8.75
2,64000003,8.00,6.50,4.20,,,,,5.25,6.75,9.50,7.17
3,64000004,8.40,7.25,6.60,8.00,7.75,4.50,6.75,,,,
4,64000005,6.60,5.50,3.40,,,,,3.75,6.00,8.50,6.08
5,64000006,8.40,7.50,4.00,7.00,7.50,6.00,6.83,,,,
6,64000007,6.60,6.50,4.40,,,,,5.25,6.75,8.25,6.75
7,64000008,5.20,6.00,3.40,,,,,5.00,6.75,7.00,6.25
8,64000009,6.00,6.00,4.00,,,,,6.00,7.25,9.50,7.58
9,64000010,,7.50,,,,,,9.00,9.25,,6.08
10,64000011,4.00,3.00,3.00,,,,,3.25,6.25,7.50,5.67
11,64000012,4.80,5.75,3.40,,,,,6.50,7.25,9.50,7.75
12,64000013,6.40,5.50,3.20,,,,,6.00,6.25,8.25,6.83
13,64000014,5.20,5.50,3.40,,,,,4.00,4.50,6.25,4.92
14,64000015,7.80,7.75,4.60,7.75,6.50,5.75,6.67,,,,
15,64000016,4.40,,,3.50,3.00,,2.17,,,,
16,64000017,4.40,6.25,,,,,,6.25,6.75,,4.33
17,64000018,3.80,5.25,,,,,,6.00,6.25,,4.08
18,64000019,5.80,6.25,4.00,,,,,5.00,5.75,8.75,6.50
19,64000020,8.40,7.75,3.40,7.50,8.00,6.00,7.17,,,,
20,64000021,7.80,6.50,4.60,,,,,6.75,7.50,9.25,7.83
21,64000022,6.80,6.75,3.80,,,,,4.75,6.50,9.00,6.75
22,64000023,3.40,6.00,,,,,,4.75,,,1.58
23,64000024,8.40,6.25,5.20,8.75,8.25,5.50,7.50,,,,
24,64000025,6.20,4.50,2.60,,,,,4.00,6.00,8.75,6.25
25,64000026,7.20,6.00,3.80,,,,,3.75,6.50,8.50,6.25
