,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,58000001,6.40,7.00,3.00,5.50,5.00,5.25,5.25,,,,
1,58000002,8.20,7.25,5.80,5.75,7.25,7.25,6.75,,,,
2,58000003,6.80,7.75,6.80,4.75,3.50,6.00,4.75,,,,
3,58000004,6.60,6.50,3.40,6.75,5.25,4.00,5.33,,,,
4,58000005,7.20,7.75,4.40,8.00,6.25,6.00,6.75,,,,
5,58000006,7.20,7.50,6.00,5.00,7.50,4.75,5.75,,,,
6,58000007,5.60,5.50,3.40,,,,,5.75,7.75,9.00,7.50
7,58000008,5.00,5.50,3.40,,,,,5.00,6.50,8.25,6.58
8,58000009,6.40,6.75,3.80,,,,,6.50,6.25,7.75,6.83
9,58000010,6.80,5.75,5.40,3.00,5.00,4.75,4.25,,,,
10,58000011,7.60,7.25,3.60,6.50,5.25,4.25,5.33,,,,
11,58000012,4.40,3.75,3.00,,,,,4.75,5.25,9.00,6.33
12,58000013,3.80,6.75,,,,,,4.25,7.00,,3.75
13,58000014,7.80,6.50,3.00,4.50,6.25,6.00,5.58,,,,
14,58000015,3.80,5.75,,,,,,3.75,6.50,,3.42
15,58000016,4.20,6.50,,,,,,3.75,6.50,,3.42
16,58000017,6.00,7.00,4.00,4.75,6.25,5.25,5.42,,,,
17,58000018,7.00,6.75,5.60,7.00,6.75,6.25,6.67,,,,
18,58000019,4.80,5.75,2.60,,,,,3.75,7.50,8.75,6.67
19,58000020,4.80,7.00,3.40,,,,,5.75,8.25,8.25,7.42
20,58000021,8.80,7.50,5.20,8.00,7.25,7.50,7.58,,,,
21,58000022,7.60,6.50,2.40,6.00,5.75,5.75,5.83,,,,
22,58000023,5.80,7.25,,,,,,4.25,6.25,,3.50
23,58000024,8.20,8.75,3.20,8.25,7.50,7.00,7.58,,,,
24,58000025,5.40,6.00,,,,,,3.75,7.00,,3.58
25,58000026,7.00,7.25,4.60,,,,,8.75,8.75,8.75,8.75
26,58000027,4.60,6.00,,,,,,7.50,8.50,,5.33
27,58000028,6.00,7.25,4.40,,,,,6.75,7.00,8.75,7.50
28,58000029,4.40,7.00,,,,,,6.25,7.75,,4.67
29,58000030,4.60,7.00,3.40,,,,,3.50,7.00,8.00,6.17
30,58000031,6.00,7.25,4.40,,,,,6.25,7.00,8.75,7.33
31,58000032,5.80,6.75,4.00,,,,,6.50,6.50,9.50,7.50
32,58000033,5.20,5.25,3.00,,,,,5.25,8.25,8.25,7.25
33,58000034,5.40,7.00,3.40,7.00,5.00,4.25,5.42,,,,
34,58000035,5.40,7.25,,,,,,5.50,7.75,,4.42
35,58000036,8.00,6.25,6.20,6.75,8.00,5.25,6.67,,,,
36,58000037,6.60,5.75,4.20,,,,,5.00,7.50,8.00,6.83
37,58000038,4.00,5.75,1.80,,,,,5.25,7.25,9.00,7.17
38,58000039,7.20,6.25,4.80,,,,,7.00,7.50,9.00,7.83
39,58000040,4.00,6.00,2.60,,,,,4.50,6.25,7.00,5.92
40,58000041,6.80,7.25,5.60,,,,,4.50,7.75,8.75,7.00
41,58000042,8.40,6.00,6.00,6.00,8.50,6.75,7.08,,,,
42,58000043,5.80,6.50,2.80,,,,,4.00,6.75,7.75,6.17
43,58000044,6.80,6.00,3.80,7.00,5.00,5.00,5.67,,,,
44,58000045,6.80,5.50,5.40,,,,,5.75,7.25,8.25,7.08
45,58000046,5.60,7.00,2.40,,,,,4.75,7.00,6.50,6.08
46,58000047,7.60,6.50,3.80,6.25,6.75,5.75,6.25,,,,
47,58000048,6.60,7.00,5.00,,,,,5.75,7.75,8.75,7.42
48,58000049,7.00,6.75,5.40,,,,,7.50,7.50,7.25,7.42
49,58000050,7.40,5.50,3.80,4.75,5.75,6.75,5.75,,,,
50,58000051,5.80,6.50,3.40,3.50,5.00,4.25,4.25,,,,
51,58000052,7.60,6.25,3.20,8.00,7.25,7.50,7.58,,,,
52,58000053,7.40,7.00,6.40,5.25,6.00,6.50,5.92,,,,
53,58000054,5.20,5.50,2.80,,,,,6.50,6.50,8.00,7.00
54,58000055,8.20,7.50,4.40,,,,,9.00,8.00,9.50,8.83
55,58000056,5.80,7.00,3.00,,,,,5.50,7.00,8.25,6.92
56,58000057,3.40,5.25,3.80,,,,,6.00,5.75,7.50,6.42
57,58000058,5.20,5.00,3.00,,,,,5.25,5.50,6.25,5.67
58,58000059,6.20,5.50,4.20,,,,,6.00,7.25,9.75,7.67
