,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,10000001,9.20,5.75,5.80,7.75,8.75,3.25,6.58,,,,
1,10000002,8.60,8.75,6.80,,,,,9.00,7.75,8.25,8.33
2,10000003,6.60,6.75,7.00,,,,,6.00,6.00,8.00,6.67
3,10000004,9.60,5.50,5.00,8.25,10.00,5.25,7.83,,,,
4,10000005,3.00,7.00,2.80,,,,,5.00,7.50,7.00,6.50
5,10000006,7.40,8.50,8.60,,,,,6.25,8.75,8.75,7.92
6,10000007,2.00,7.00,4.20,,,,,4.50,6.75,7.25,6.17
7,10000008,8.00,8.25,6.20,,,,,5.00,8.50,7.25,6.92
8,10000009,8.80,9.00,8.20,,,,,7.25,8.50,8.50,8.08
9,10000010,3.80,5.00,3.20,,,,,5.00,6.25,7.25,6.17
10,10000011,9.20,7.75,7.60,8.25,5.00,6.25,6.50,,,,
11,10000012,3.80,5.00,,,,,,4.50,6.25,,3.58
12,10000013,7.60,8.00,7.00,,,,,5.75,7.25,7.75,6.92
13,10000014,5.80,6.75,6.00,,,,,9.00,8.50,7.50,8.33
14,10000015,8.20,8.25,5.20,7.50,8.00,5.25,6.92,,,,
15,10000016,9.20,7.50,6.00,6.00,8.25,8.50,7.58,,,,
16,10000017,8.60,6.50,6.80,3.75,8.50,6.75,6.33,,,,
17,10000018,7.00,7.25,6.20,,,,,7.25,7.50,6.50,7.08
18,10000019,9.00,5.50,3.40,8.50,8.00,6.00,7.50,,,,
19,10000020,8.20,5.50,9.00,8.50,8.00,6.75,7.75,,,,
20,10000021,7.40,7.75,7.00,,,,,5.75,7.75,9.25,7.58
21,10000022,8.60,8.50,8.60,,,,,4.00,8.00,8.00,6.67
22,10000023,8.40,5.00,5.00,5.25,9.00,7.50,7.25,,,,
23,10000024,8.00,6.50,5.20,3.25,7.50,4.75,5.17,,,,
24,10000025,4.00,6.25,4.60,,,,,4.75,6.50,8.00,6.42
25,10000026,7.80,7.25,6.40,,,,,6.00,7.75,8.75,7.50
26,10000027,6.20,6.75,6.80,,,,,5.25,7.50,7.75,6.83
27,10000028,9.60,6.75,9.20,7.75,8.75,7.75,8.08,,,,
28,10000029,5.80,8.50,4.60,,,,,9.00,9.25,9.00,9.08
29,10000030,8.60,8.25,7.80,,,,,7.25,8.75,8.50,8.17
30,10000031,3.20,5.75,,,,,,4.75,5.00,,3.25
31,10000032,7.00,8.00,4.40,,,,,9.50,8.75,7.75,8.67
32,10000033,4.00,3.25,,,,,,3.50,6.75,,3.42
33,10000034,5.20,7.00,,,,,,6.00,6.50,,4.17
34,10000035,7.40,5.75,4.40,5.50,3.50,3.75,4.25,,,,
35,10000036,5.20,5.50,,,,,,6.25,7.25,,4.50
36,10000037,7.40,7.25,,,,,,4.25,7.25,,3.83
37,10000038,9.20,8.25,9.20,9.50,7.00,5.75,7.42,,,,
