,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,48000001,7.00,7.00,5.00,,,,,4.75,6.75,9.75,7.08
1,48000002,8.20,7.25,4.00,7.75,7.75,5.25,6.92,,,,
2,48000003,8.40,6.00,5.20,8.00,8.00,7.50,7.83,,,,
3,48000004,8.20,7.75,6.00,7.25,7.75,5.50,6.83,,,,
4,48000005,3.40,5.25,,,,,,1.50,3.00,,1.50
5,48000006,7.40,7.00,4.20,6.00,5.75,5.50,5.75,,,,
6,48000007,3.60,4.00,,,,,,3.25,6.75,,3.33
7,48000008,6.00,4.75,6.20,,,,,5.75,7.00,8.00,6.92
8,48000009,6.40,5.75,3.80,,,,,7.75,7.75,8.25,7.92
9,48000010,9.20,6.25,9.00,7.00,8.75,7.50,7.75,,,,
10,48000011,7.40,6.25,,,,,,9.00,7.25,,5.42
11,48000012,8.00,6.25,3.60,8.00,8.25,3.25,6.50,,,,
12,48000013,7.60,6.25,8.40,6.75,4.25,4.75,5.25,,,,
13,48000014,7.20,6.75,5.00,,,,,4.25,7.25,9.50,7.00
14,48000015,7.20,6.75,4.60,,,,,4.75,7.00,9.00,6.92
15,48000016,8.20,5.00,5.80,7.50,6.00,5.50,6.33,,,,
16,48000017,8.60,8.50,8.80,8.00,7.00,7.00,7.33,,,,
17,48000018,7.20,6.75,3.20,,,,,6.00,7.25,8.00,7.08
18,48000019,7.20,7.00,4.60,8.00,7.25,4.75,6.67,,,,
19,48000020,5.00,5.25,5.00,3.75,5.00,3.25,4.00,,,,
20,48000021,7.20,5.50,6.60,7.25,7.50,5.25,6.67,,,,
21,48000022,8.40,8.25,8.60,6.50,6.00,6.25,6.25,,,,
22,48000023,7.60,5.50,5.60,7.00,5.50,5.50,6.00,,,,
23,48000024,8.60,7.00,8.40,7.75,4.25,5.00,5.67,,,,
24,48000025,7.40,7.00,7.60,,,,,5.75,6.50,8.25,6.83
25,48000026,3.60,4.25,,,,,,6.00,4.75,,3.58
26,48000027,8.60,6.25,5.40,8.00,8.00,5.25,7.08,,,,
27,48000028,8.00,4.50,9.20,5.00,8.00,5.50,6.17,,,,
28,48000029,6.20,4.75,,,,,,7.00,7.25,,4.75
29,48000030,7.20,7.00,4.00,6.00,5.00,3.75,4.92,,,,
30,48000031,5.20,5.25,,,,,,4.75,6.00,,3.58
31,48000032,7.20,5.25,4.80,,,,,7.25,8.00,9.75,8.33
32,48000033,6.00,5.75,6.60,,,,,5.50,8.00,8.50,7.33
33,48000034,5.80,5.50,3.60,,,,,4.25,7.50,7.50,6.42
34,48000035,2.80,3.25,2.00,,,,,6.00,6.00,7.00,6.33
35,48000036,5.80,7.75,3.40,3.00,4.75,6.50,4.75,,,,
36,48000037,6.00,6.50,3.20,,,,,5.25,6.75,7.50,6.50
37,48000038,9.20,7.00,5.80,7.75,8.00,4.75,6.83,,,,
38,48000039,5.00,6.00,,,,,,8.25,8.25,,5.50
39,48000040,9.00,6.00,4.20,9.00,8.75,6.25,8.00,,,,
40,48000041,8.00,6.75,5.60,6.75,6.25,5.50,6.17,,,,
41,48000042,8.40,6.25,6.60,7.75,7.75,5.50,7.00,,,,
42,48000043,7.40,7.50,5.80,6.25,5.25,4.25,5.25,,,,
43,48000044,8.40,7.75,7.80,5.00,6.25,5.50,5.58,,,,
44,48000045,8.20,7.25,5.20,7.00,6.75,5.00,6.25,,,,
45,48000046,8.00,5.00,3.00,,,,,5.00,7.50,8.50,7.00
46,48000047,7.80,6.00,5.80,6.00,7.50,5.75,6.42,,,,
47,48000048,7.60,6.50,5.60,,,,,3.75,7.75,7.75,6.42
48,48000049,8.60,7.50,8.60,6.00,5.50,4.50,5.33,,,,
49,48000050,6.20,6.50,6.00,,,,,4.25,5.25,6.75,5.42
50,48000051,7.60,5.75,5.00,3.00,8.00,6.75,5.92,,,,
51,48000052,3.60,8.00,4.00,,,,,4.50,4.75,6.25,5.17
52,48000053,7.20,5.75,6.40,4.25,8.50,7.25,6.67,,,,
53,48000054,4.80,5.25,3.40,,,,,4.25,7.00,7.25,6.17
