,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,23000001,5.60,7.00,5.00,,,,,4.50,6.75,7.75,6.33
1,23000002,7.60,6.50,5.60,5.75,6.75,4.50,5.67,,,,
2,23000003,7.80,6.25,5.40,8.25,7.75,5.50,7.17,,,,
3,23000004,9.20,7.00,9.20,8.25,8.25,7.00,7.83,,,,
4,23000005,9.20,6.50,4.80,8.25,8.75,5.25,7.42,,,,
5,23000006,9.00,7.25,7.80,,,,,7.00,6.50,8.25,7.25
6,23000007,8.20,8.25,7.80,,,,,3.75,7.25,8.25,6.42
7,23000008,9.20,6.25,5.40,7.75,9.00,5.00,7.25,,,,
8,23000009,8.00,8.00,8.40,,,,,6.25,6.00,7.50,6.58
9,23000010,8.20,7.25,8.80,,,,,2.75,6.25,7.00,5.33
10,23000011,7.80,7.50,6.80,,,,,5.75,7.75,8.00,7.17
11,23000012,7.60,8.00,8.60,,,,,5.25,7.00,8.00,6.75
12,23000013,9.00,8.00,7.60,,,,,6.50,8.00,8.25,7.58
13,23000014,8.00,6.00,7.80,7.75,6.50,4.50,6.25,,,,
14,23000015,8.20,7.25,4.40,,,,,3.25,7.00,6.25,5.50
15,23000016,8.40,8.50,9.60,,,,,7.50,7.75,8.25,7.83
16,23000017,8.00,6.50,6.00,7.25,4.75,3.25,5.08,,,,
17,23000018,9.20,6.00,5.00,8.50,8.00,5.00,7.17,,,,
18,23000019,7.60,6.00,3.60,7.25,7.75,5.00,6.67,,,,
19,23000020,9.00,7.50,4.60,8.75,8.00,5.50,7.42,,,,
20,23000021,4.60,7.00,3.60,,,,,7.25,8.50,6.75,7.50
21,23000022,7.20,6.00,4.80,,,,,6.00,7.50,8.25,7.25
22,23000023,6.60,7.50,5.20,,,,,9.75,7.50,7.25,8.17
23,23000024,4.60,4.50,2.40,,,,,3.75,6.50,5.75,5.33
24,23000025,7.00,7.25,4.40,8.00,8.50,5.75,7.42,,,,
25,23000026,6.80,6.25,5.20,,,,,4.25,7.00,7.00,6.08
