,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,36000001,9.20,7.75,8.60,7.75,7.50,7.25,7.50,,,,
1,36000002,9.00,6.00,4.20,7.00,4.50,4.75,5.42,,,,
2,36000003,6.40,6.25,5.00,,,,,5.25,8.00,8.25,7.17
3,36000004,6.40,7.50,3.40,,,,,7.25,7.75,9.00,8.00
4,36000005,8.40,8.25,8.00,,,,,7.50,7.25,9.25,8.00
5,36000006,9.00,7.75,6.00,5.00,9.00,9.25,7.75,,,,
6,36000007,9.00,7.00,5.00,7.50,3.50,5.50,5.50,,,,
7,36000008,9.20,6.25,5.20,8.25,9.25,5.25,7.58,,,,
8,36000009,9.00,6.75,9.60,7.50,8.75,7.00,7.75,,,,
9,36000010,8.00,7.75,9.20,,,,,6.00,8.25,8.00,7.42
10,36000011,7.40,8.25,4.00,,,,,9.00,7.25,7.75,8.00
11,36000012,9.00,5.75,8.00,8.50,4.50,6.25,6.42,,,,
12,36000013,9.00,6.75,5.00,6.00,9.25,9.50,8.25,,,,
13,36000014,4.20,5.00,2.20,,,,,2.75,5.25,6.25,4.75
14,36000015,9.20,8.00,8.00,8.25,6.75,5.25,6.75,,,,
15,36000016,3.20,4.50,2.40,,,,,5.50,6.25,7.75,6.50
16,36000017,7.00,7.00,7.80,5.50,6.00,5.00,5.50,,,,
17,36000018,8.00,6.00,3.40,4.00,8.00,8.50,6.83,,,,
18,36000019,6.60,5.25,3.00,,,,,5.25,7.75,7.25,6.75
19,36000020,7.60,6.25,6.80,5.75,4.00,5.25,5.00,,,,
20,36000021,8.80,5.00,6.60,7.50,9.00,4.00,6.83,,,,
21,36000022,6.00,7.00,3.80,,,,,4.25,6.75,8.75,6.58
22,36000023,6.20,8.00,3.00,,,,,6.25,8.50,8.25,7.67
23,36000024,9.00,6.00,4.00,8.00,8.25,6.00,7.42,,,,
24,36000025,4.20,4.75,3.60,,,,,4.00,5.75,5.50,5.08
25,36000026,8.60,7.25,8.40,6.75,9.00,8.50,8.08,,,,
26,36000027,8.20,7.25,7.00,5.75,7.25,8.00,7.00,,,,
27,36000028,6.80,8.00,8.60,,,,,6.50,7.00,8.75,7.42
28,36000029,8.40,7.50,8.00,8.00,7.25,6.50,7.25,,,,
29,36000030,6.20,8.00,7.00,,,,,5.50,8.25,8.75,7.50
30,36000031,5.60,6.75,3.00,,,,,5.50,7.75,7.50,6.92
31,36000032,7.60,5.75,4.20,7.00,6.50,6.25,6.58,,,,
32,36000033,5.60,5.25,3.00,,,,,5.00,6.50,8.50,6.67
33,36000034,6.40,4.00,3.60,,,,,6.25,7.00,8.50,7.25
34,36000035,3.20,6.00,2.80,,,,,5.25,6.75,6.25,6.08
35,36000036,8.40,6.00,4.20,8.50,7.50,7.25,7.75,,,,
36,36000037,8.60,5.75,4.00,7.00,5.50,4.75,5.75,,,,
37,36000038,6.60,6.00,3.00,,,,,5.00,8.25,8.25,7.17
38,36000039,8.40,8.00,7.80,3.75,8.00,9.50,7.08,,,,
39,36000040,4.40,6.25,2.80,,,,,4.25,6.00,6.75,5.67
40,36000041,7.80,7.75,6.60,7.00,7.75,7.25,7.33,,,,
41,36000042,5.00,6.25,2.60,,,,,3.50,5.50,6.25,5.08
42,36000043,9.00,6.25,9.20,7.50,6.25,5.25,6.33,,,,
43,36000044,6.00,6.25,3.60,,,,,4.75,7.00,7.25,6.33
44,36000045,5.00,7.00,1.60,,,,,4.75,5.50,5.00,5.08
45,36000046,8.80,9.00,8.60,,,,,7.25,8.00,9.50,8.25
46,36000047,8.60,6.00,5.40,8.75,8.75,5.75,7.75,,,,
47,36000048,7.40,6.75,4.40,,,,,5.00,7.50,8.50,7.00
48,36000049,4.00,6.25,3.20,,,,,6.25,5.75,8.25,6.75
49,36000050,8.40,8.75,7.40,,,,,9.00,7.00,8.75,8.25
50,36000051,7.20,7.75,8.00,,,,,9.00,8.25,9.00,8.75
51,36000052,6.80,8.25,4.20,,,,,8.25,9.25,9.00,8.83
52,36000053,5.20,5.75,2.40,,,,,3.50,7.75,7.75,6.33
53,36000054,3.80,5.50,2.60,,,,,3.75,6.00,6.00,5.25
54,36000055,5.20,4.75,3.40,,,,,3.25,7.25,7.75,6.08
55,36000056,8.00,5.50,3.20,6.50,9.25,5.00,6.92,,,,
56,36000057,8.80,7.75,6.80,8.75,9.25,6.00,8.00,,,,
57,36000058,8.00,5.50,7.40,7.00,5.00,4.00,5.33,,,,
58,36000059,3.40,5.75,2.20,,,,,5.25,6.25,6.00,5.83
59,36000060,8.00,5.75,8.40,6.50,7.00,4.50,6.00,,,,
60,36000061,6.80,6.25,3.80,,,,,7.00,7.25,8.75,7.67
61,36000062,5.80,7.75,3.60,,,,,3.00,7.75,8.00,6.25
62,36000063,4.40,7.25,3.00,,,,,4.50,7.00,8.00,6.50
63,36000064,8.40,9.00,8.60,,,,,5.75,7.25,9.00,7.33
64,36000065,5.00,7.00,4.40,,,,,4.00,6.25,8.75,6.33
65,36000066,4.00,4.00,2.20,,,,,4.25,6.25,7.50,6.00
66,36000067,5.40,6.50,4.00,,,,,6.00,7.00,8.75,7.25
67,36000068,8.40,7.50,7.20,,,,,6.25,8.00,8.00,7.42
68,36000069,7.40,7.25,7.80,6.25,3.50,5.25,5.00,,,,
69,36000070,8.20,5.75,5.80,7.25,8.25,4.25,6.58,,,,
70,36000071,8.00,6.00,5.40,5.00,6.75,7.75,6.50,,,,
71,36000072,5.80,7.75,5.80,,,,,8.75,7.25,9.00,8.33
72,36000073,8.80,5.75,5.40,8.25,8.50,4.50,7.08,,,,
73,36000074,9.40,7.00,5.40,8.50,8.00,6.00,7.50,,,,
74,36000075,9.00,6.50,8.00,8.75,6.50,5.50,6.92,,,,
75,36000076,8.60,7.25,3.00,7.25,8.00,5.25,6.83,,,,
76,36000077,9.20,6.25,5.00,8.25,8.75,5.00,7.33,,,,
77,36000078,8.60,6.25,7.40,7.25,5.00,7.50,6.58,,,,
78,36000079,8.20,7.50,8.60,,,,,6.75,7.75,8.25,7.58
79,36000080,9.00,6.50,6.80,7.75,6.75,7.75,7.42,,,,
80,36000081,3.60,6.25,2.80,,,,,3.50,5.75,7.00,5.42
81,36000082,5.00,6.25,2.00,,,,,5.25,6.50,8.00,6.58
82,36000083,7.80,7.00,3.60,6.25,5.25,6.00,5.83,,,,
83,36000084,8.00,6.50,4.80,6.75,5.50,4.25,5.50,,,,
84,36000085,8.80,6.25,4.60,8.75,6.75,5.50,7.00,,,,
85,36000086,5.20,7.00,3.40,,,,,2.00,5.25,6.75,4.67
86,36000087,6.80,4.75,3.80,5.25,4.00,5.25,4.83,,,,
87,36000088,4.00,5.00,2.40,,,,,6.25,6.25,6.75,6.42
88,36000089,6.40,6.25,3.20,5.75,5.00,5.00,5.25,,,,
89,36000090,8.60,6.50,6.00,7.00,6.00,5.50,6.17,,,,
90,36000091,3.80,6.00,2.40,,,,,4.75,4.75,7.25,5.58
91,36000092,9.00,8.00,9.00,,,,,8.75,9.25,9.75,9.25
92,36000093,6.60,7.75,4.20,,,,,4.75,8.00,8.25,7.00
93,36000094,4.00,6.75,3.20,,,,,5.00,7.25,6.75,6.33
94,36000095,8.60,8.00,5.60,,,,,5.75,8.00,8.50,7.42
95,36000096,9.00,7.25,6.20,9.00,9.00,6.00,8.00,,,,
96,36000097,9.00,7.25,9.20,7.75,4.75,6.00,6.17,,,,
97,36000098,6.80,7.00,4.20,,,,,6.00,6.25,9.00,7.08
98,36000099,5.60,7.75,3.00,,,,,4.00,5.75,8.00,5.92
99,36000100,2.80,5.75,2.40,,,,,2.75,5.00,5.00,4.25
100,36000101,5.00,6.25,3.00,,,,,5.00,7.00,7.25,6.42
101,36000102,8.80,7.25,8.20,8.00,7.25,6.75,7.33,,,,
102,36000103,6.40,7.50,5.80,,,,,5.50,7.75,9.25,7.50
103,36000104,7.60,7.50,4.20,,,,,8.50,8.50,9.50,8.83
104,36000105,7.40,7.00,4.20,,,,,3.50,8.00,8.25,6.58
105,36000106,6.20,8.00,2.80,,,,,4.50,8.75,8.50,7.25
106,36000107,8.80,6.25,5.60,6.00,8.75,8.75,7.83,,,,
107,36000108,8.80,7.00,5.60,7.75,8.75,6.50,7.67,,,,
108,36000109,8.00,6.00,9.20,7.50,5.50,5.75,6.25,,,,
109,36000110,9.20,7.50,5.40,6.25,8.00,8.25,7.50,,,,
