,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,54000001,3.80,6.50,3.80,,,,,4.25,7.25,8.75,6.75
1,54000002,8.00,6.50,5.20,5.75,7.25,6.00,6.33,,,,
2,54000003,6.60,5.75,3.80,,,,,4.75,7.00,9.50,7.08
3,54000004,7.60,5.75,4.60,6.00,6.50,7.50,6.67,,,,
4,54000005,4.40,2.75,3.00,,,,,3.50,4.00,5.25,4.25
5,54000006,5.00,4.25,4.00,,,,,3.25,6.25,8.25,5.92
6,54000007,7.60,4.75,5.60,7.25,4.75,6.00,6.00,,,,
7,54000008,5.60,6.25,3.00,,,,,6.25,6.25,8.75,7.08
8,54000009,7.20,7.25,3.20,5.50,6.00,6.00,5.83,,,,
9,54000010,7.80,7.00,6.40,,,,,7.00,5.50,8.25,6.92
10,54000011,5.80,5.00,5.00,,,,,4.25,7.75,8.75,6.92
11,54000012,8.80,5.75,4.00,5.75,7.50,9.50,7.58,,,,
12,54000013,6.60,5.25,3.60,,,,,6.00,7.25,9.25,7.50
13,54000014,6.60,7.33,5.40,4.75,4.25,4.75,4.58,,,,
14,54000015,8.00,6.50,4.20,4.25,4.75,3.50,4.17,,,,
15,54000016,6.40,5.50,,,,,,3.00,6.00,,3.00
16,54000017,7.40,6.50,3.20,6.00,6.75,5.00,5.92,,,,
17,54000018,2.40,3.25,,,,,,2.50,3.00,,1.83
18,54000019,7.00,7.50,3.40,,,,,6.75,7.25,9.75,7.92
19,54000020,7.80,7.25,6.80,,,,,3.50,7.75,9.25,6.83
20,54000021,5.60,4.00,,,,,,3.00,,,1.00
21,54000022,8.40,6.50,4.20,,,,,3.75,7.00,8.50,6.42
22,54000023,7.60,7.75,3.80,6.25,8.00,7.25,7.17,,,,
23,54000024,7.60,,,,5.75,6.75,4.17,,,,
24,54000025,3.00,4.75,,,,,,4.50,,,1.50
25,54000026,9.20,7.50,7.20,8.25,8.75,8.00,8.33,,,,
26,54000027,4.60,5.75,2.00,,,,,4.25,5.50,8.25,6.00
27,54000028,6.00,4.75,3.60,,,,,5.25,7.00,7.50,6.58
28,54000029,3.60,6.50,3.00,,,,,4.50,7.00,9.25,6.92
29,54000030,7.80,5.50,4.80,6.75,5.25,6.00,6.00,,,,
30,54000031,5.20,5.00,3.80,3.75,4.25,5.00,4.33,,,,
31,54000032,6.60,6.75,2.60,,,,,5.50,6.75,9.25,7.17
32,54000033,6.40,7.75,3.60,,,,,9.25,8.75,9.75,9.25
33,54000034,5.80,6.00,2.40,,,,,6.00,6.00,8.75,6.92
34,54000035,7.20,5.50,3.20,,,,,7.25,6.75,8.00,7.33
35,54000036,4.60,4.75,2.80,,,,,5.50,6.50,8.00,6.67
36,54000037,2.00,3.50,,,,,,4.00,,,1.33
37,54000038,2.60,3.50,1.40,,,,,3.00,6.50,8.25,5.92
38,54000039,6.20,6.50,2.60,,,,,4.25,8.25,9.00,7.17
39,54000040,7.00,5.75,4.40,,,,,5.00,7.75,9.50,7.42
40,54000041,6.80,6.75,3.60,,,,,6.75,8.25,9.25,8.08
41,54000042,4.00,5.75,,,,,,4.75,7.25,,4.00
42,54000043,6.40,6.75,2.80,,,,,4.75,8.50,8.25,7.17
43,54000044,2.40,6.00,,,,,,4.50,6.25,,3.58
44,54000045,4.00,6.25,2.00,,,,,3.75,6.00,7.75,5.83
45,54000046,7.80,8.75,4.80,,,,,5.25,7.25,8.50,7.00
46,54000047,7.60,8.50,4.00,,,,,4.50,7.50,9.50,7.17
47,54000048,6.80,7.00,,,,,,9.25,,,3.08
48,54000049,6.40,6.50,3.60,,,,,3.75,7.50,8.25,6.50
49,54000050,3.80,6.50,3.00,,,,,3.75,6.75,7.25,5.92
50,54000051,7.00,4.50,3.40,,,,,5.00,5.50,8.00,6.17
51,54000052,8.40,7.25,5.40,6.50,8.25,7.50,7.42,,,,
52,54000053,3.00,4.75,1.80,,,,,4.75,6.75,7.25,6.25
53,54000054,4.20,6.25,3.20,,,,,6.50,5.75,8.25,6.83
