,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,62000001,7.80,7.25,3.60,,,,,8.25,7.50,8.25,8.00
1,62000002,6.60,7.25,3.80,,,,,5.75,7.50,9.50,7.58
2,62000003,6.20,7.00,3.80,,,,,6.75,8.25,9.75,8.25
3,62000004,5.00,4.25,2.80,,,,,4.00,5.00,6.25,5.08
4,62000005,7.00,6.25,3.80,,,,,8.75,9.75,8.50,9.00
5,62000006,4.20,4.75,,,,,,4.00,4.75,,2.92
6,62000007,8.20,6.25,3.40,4.25,7.75,6.75,6.25,,,,
7,62000008,6.00,7.25,3.20,,,,,5.50,8.00,8.00,7.17
8,62000009,7.60,7.00,3.60,6.00,7.00,6.25,6.42,,,,
9,62000010,4.80,7.00,3.20,,,,,4.00,5.50,6.75,5.42
10,62000011,5.40,6.25,3.40,,,,,2.75,7.50,8.50,6.25
11,62000012,7.60,6.75,4.80,,,,,3.50,6.50,7.75,5.92
12,62000013,7.40,6.00,3.60,5.25,5.75,4.25,5.08,,,,
13,62000014,4.60,6.50,2.40,,,,,5.00,5.25,8.00,6.08
14,62000015,7.20,7.00,4.40,,,,,5.75,6.50,9.00,7.08
15,62000016,6.00,5.50,2.40,,,,,5.00,6.50,8.50,6.67
16,62000017,8.00,3.75,6.40,5.75,6.00,5.75,5.83,,,,
17,62000018,5.60,5.50,4.00,,,,,4.75,7.25,8.50,6.83
18,62000019,8.40,6.50,5.00,,,,,4.50,6.25,6.25,5.67
19,62000020,6.80,6.50,4.40,7.00,8.25,5.25,6.83,,,,
20,62000021,7.60,7.75,4.20,,,,,4.75,7.50,7.75,6.67
21,62000022,5.40,7.75,2.80,,,,,4.00,6.00,7.25,5.75
22,62000023,7.60,8.00,4.00,,,,,5.75,7.00,8.00,6.92
23,62000024,7.80,7.00,6.60,7.00,4.25,4.00,5.08,,,,
24,62000025,5.40,7.75,3.40,,,,,4.75,7.25,8.00,6.67
25,62000026,7.40,7.00,6.00,,,,,6.25,7.00,9.25,7.50
26,62000027,7.60,6.50,3.60,,,,,7.75,8.50,9.25,8.50
27,62000028,6.20,7.75,3.40,,,,,7.25,7.50,7.50,7.42
28,62000029,3.60,4.75,3.80,,,,,3.00,5.25,4.25,4.17
29,62000030,8.00,7.25,2.60,6.00,6.75,7.00,6.58,,,,
30,62000031,3.40,5.75,3.40,,,,,8.00,7.50,8.00,7.83
31,62000032,8.00,,,7.50,7.25,,4.92,,,,
32,62000033,4.80,6.25,7.60,,,,,5.50,7.75,9.25,7.50
