,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,05000001,7.20,7.50,6.20,,,,,2.50,6.75,7.25,5.50
1,05000002,9.20,,,5.00,8.25,9.00,7.42,,,,
2,05000003,7.60,8.25,7.00,,,,,6.25,7.25,7.25,6.92
3,05000004,2.80,4.00,3.60,,,,,3.25,5.75,5.25,4.75
4,05000005,7.00,3.75,5.60,6.75,4.75,5.75,5.75,,,,
5,05000006,6.60,8.25,7.60,,,,,3.25,6.75,6.75,5.58
6,05000007,8.40,9.00,7.40,,,,,5.00,7.25,8.25,6.83
7,05000008,6.40,6.00,,,,,,7.75,,,2.58
8,05000009,3.00,6.00,,,,,,4.00,5.50,,3.17
9,05000010,8.20,8.00,9.20,,,,,7.50,7.50,7.50,7.50
10,05000011,9.20,6.25,4.60,5.25,8.00,7.50,6.92,,,,
11,05000012,6.40,7.50,5.00,,,,,7.75,7.25,7.25,7.42
12,05000013,8.40,7.50,5.80,7.00,6.00,6.00,6.33,,,,
13,05000014,9.20,8.00,9.00,,,,,5.75,6.75,8.50,7.00
14,05000015,9.20,6.50,9.00,8.25,5.25,7.00,6.83,,,,
15,05000016,8.00,8.00,6.60,,,,,3.00,7.25,6.50,5.58
16,05000017,7.80,,,7.00,8.00,,5.00,,,,
17,05000018,8.40,8.25,8.20,,,,,5.25,7.50,6.50,6.42
18,05000019,8.40,6.75,8.20,8.25,6.25,6.25,6.92,,,,
19,05000020,7.60,8.00,4.80,,,,,9.00,8.50,7.25,8.25
20,05000021,9.40,6.00,5.80,8.00,7.25,5.50,6.92,,,,
21,05000022,8.40,5.75,4.20,8.00,8.00,5.75,7.25,,,,
22,05000023,6.00,6.25,6.60,3.00,4.50,4.75,4.08,,,,
23,05000024,7.80,7.50,7.20,8.00,5.75,5.25,6.33,,,,
24,05000025,9.00,7.25,6.20,7.75,6.50,6.00,6.75,,,,
25,05000026,8.40,6.50,5.60,8.50,6.25,5.75,6.83,,,,
26,05000027,4.00,4.25,3.00,,,,,2.75,6.00,8.00,5.58
27,05000028,5.20,4.25,5.00,,,,,8.75,7.00,8.50,8.08
28,05000029,3.20,3.75,,,,,,2.75,6.75,,3.17
29,05000030,9.00,8.25,7.80,,,,,4.50,6.75,8.25,6.50
30,05000031,8.40,4.25,4.20,9.00,7.75,4.75,7.17,,,,
31,05000032,3.00,4.25,,,,,,4.25,,,1.42
32,05000033,2.60,4.50,,,,,,4.25,2.75,,2.33
33,05000034,2.40,3.75,1.20,,,,,3.75,4.25,4.50,4.17
34,05000035,8.20,9.00,6.60,,,,,6.25,7.00,9.00,7.42
35,05000036,8.20,6.75,9.80,,,,,6.50,7.75,9.25,7.83
36,05000037,8.40,7.50,7.20,,,,,4.75,6.25,7.25,6.08
37,05000038,8.80,7.00,8.00,8.00,5.25,6.75,6.67,,,,
