,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,33000001,8.60,7.00,4.80,,,,,8.00,8.75,9.25,8.67
1,33000002,7.00,7.75,4.20,,,,,4.50,7.00,8.50,6.67
2,33000003,5.20,5.00,2.40,4.00,6.00,4.00,4.67,,,,
3,33000004,9.20,8.75,6.20,,,,,6.50,7.00,8.25,7.25
4,33000005,5.20,7.50,5.20,,,,,6.75,6.50,8.00,7.08
5,33000006,8.80,7.25,8.00,8.25,7.25,7.75,7.75,,,,
6,33000007,8.60,7.25,4.60,7.00,7.50,4.25,6.25,,,,
7,33000008,5.80,5.75,2.80,,,,,3.00,5.50,6.00,4.83
8,33000009,7.40,5.25,6.20,6.50,6.00,4.25,5.58,,,,
9,33000010,5.00,4.75,2.00,,,,,4.50,6.75,7.50,6.25
10,33000011,5.40,6.75,3.80,,,,,7.00,7.50,8.75,7.75
11,33000012,5.80,4.50,2.40,,,,,4.25,6.00,7.50,5.92
12,33000013,7.60,5.50,3.20,,,,,6.25,7.75,7.75,7.25
13,33000014,8.20,6.75,3.60,7.25,7.00,3.75,6.00,,,,
14,33000015,7.40,7.25,4.60,,,,,5.00,8.25,9.25,7.50
15,33000016,8.60,6.25,5.80,,,,,6.75,8.00,9.50,8.08
16,33000017,5.00,7.25,5.40,,,,,6.00,6.75,8.50,7.08
17,33000018,8.80,6.50,4.60,9.00,8.75,4.75,7.50,,,,
18,33000019,6.20,6.00,3.20,,,,,4.00,4.75,7.25,5.33
19,33000020,8.80,6.25,4.60,9.25,8.75,6.75,8.25,,,,
20,33000021,8.20,5.25,3.80,,,,,6.50,7.50,8.75,7.58
21,33000022,6.40,5.75,4.80,,,,,3.00,6.75,7.75,5.83
22,33000023,6.80,6.25,4.60,,,,,6.00,6.50,9.00,7.17
23,33000024,2.00,6.25,3.20,,,,,4.00,6.50,6.25,5.58
24,33000025,7.00,5.25,2.60,,,,,3.50,7.00,6.75,5.75
25,33000026,9.20,5.75,9.20,8.75,8.50,7.25,8.17,,,,
26,33000027,5.80,7.75,4.80,,,,,5.25,6.75,7.75,6.58
27,33000028,5.80,7.75,4.80,,,,,6.75,9.25,8.75,8.25
28,33000029,9.20,8.75,9.00,,,,,7.50,8.25,9.25,8.33
29,33000030,8.20,7.75,5.80,,,,,5.75,7.25,8.75,7.25
30,33000031,5.60,6.00,3.00,,,,,4.25,8.00,8.25,6.83
31,33000032,8.40,8.25,5.00,8.00,8.50,6.00,7.50,,,,
32,33000033,7.60,7.50,3.00,,,,,4.75,6.50,7.75,6.33
33,33000034,6.80,6.00,6.20,7.25,5.50,5.00,5.92,,,,
34,33000035,4.40,4.50,2.80,,,,,5.25,6.00,7.50,6.25
35,33000036,6.40,5.92,4.20,,,,,4.50,6.00,6.50,5.67
36,33000037,5.60,6.25,3.80,,,,,3.25,3.50,6.75,4.50
37,33000038,8.00,6.75,4.60,7.25,5.50,2.50,5.08,,,,
38,33000039,9.40,6.25,5.20,8.50,8.50,6.50,7.83,,,,
39,33000040,5.00,6.25,3.20,,,,,6.50,8.25,8.75,7.83
40,33000041,4.40,2.75,3.40,,,,,4.00,6.50,7.25,5.92
41,33000042,7.00,5.75,5.40,,,,,8.00,7.00,7.75,7.58
42,33000043,6.40,6.00,3.80,,,,,7.00,7.00,8.00,7.33
43,33000044,4.00,5.75,3.40,,,,,3.25,6.75,6.25,5.42
44,33000045,7.60,6.75,4.60,7.25,7.75,4.00,6.33,,,,
45,33000046,8.00,7.00,8.00,,,,,7.00,7.75,9.00,7.92
46,33000047,5.40,6.00,2.60,,,,,6.75,6.75,8.50,7.33
47,33000048,6.20,6.25,2.20,,,,,5.25,5.50,7.50,6.08
48,33000049,7.20,7.50,6.00,,,,,6.75,7.50,8.25,7.50
49,33000050,9.00,6.75,7.60,8.50,6.00,4.50,6.33,,,,
50,33000051,8.40,7.75,4.40,7.50,7.00,5.25,6.58,,,,
51,33000052,7.20,8.00,1.80,,,,,6.00,5.75,8.25,6.67
52,33000053,7.80,6.00,4.00,8.75,7.75,5.00,7.17,,,,
53,33000054,7.40,7.00,4.80,,,,,6.75,7.75,8.50,7.67
54,33000055,8.20,6.75,4.40,6.25,8.00,7.00,7.08,,,,
55,33000056,8.00,6.75,6.00,,,,,7.00,7.50,8.75,7.75
56,33000057,3.00,6.50,2.40,,,,,3.50,6.25,7.50,5.75
57,33000058,9.40,6.50,4.60,8.75,8.75,5.00,7.50,,,,
58,33000059,5.40,6.50,3.60,,,,,5.25,7.50,9.00,7.25
59,33000060,3.00,6.75,2.40,,,,,4.25,7.00,6.75,6.00
60,33000061,8.20,7.25,3.40,3.50,8.50,8.00,6.67,,,,
61,33000062,5.00,6.25,3.40,,,,,5.00,6.00,7.75,6.25
62,33000063,7.00,6.50,3.20,,,,,3.00,5.50,7.75,5.42
63,33000064,5.80,6.00,3.60,,,,,5.50,6.50,8.50,6.83
64,33000065,2.60,4.75,3.20,,,,,3.75,,,1.25
65,33000066,5.40,6.00,3.20,,,,,5.50,7.25,7.25,6.67
66,33000067,5.00,6.50,2.60,,,,,3.00,7.00,8.75,6.25
