,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,11000001,5.00,4.75,4.00,,,,,3.50,6.50,7.75,5.92
1,11000002,2.60,4.75,3.60,,,,,,,,
2,11000003,6.60,5.75,7.80,,,,,7.00,7.75,9.00,7.92
3,11000004,7.20,7.50,5.20,,,,,8.75,8.50,9.50,8.92
4,11000005,4.20,4.75,,,,,,6.75,6.00,,4.25
5,11000006,6.20,5.00,3.60,,,,,5.25,8.25,8.75,7.42
6,11000007,4.20,5.00,3.40,,,,,4.25,7.00,8.75,6.67
7,11000008,7.20,6.00,3.80,,,,,8.00,8.25,9.00,8.42
8,11000009,2.80,5.75,2.20,,,,,4.25,7.25,8.75,6.75
9,11000010,4.00,6.25,3.40,,,,,7.00,7.25,8.75,7.67
10,11000011,3.00,4.50,,,,,,4.00,4.75,,2.92
11,11000012,2.80,5.00,2.40,,,,,5.50,6.50,9.00,7.00
12,11000013,5.00,5.50,3.00,,,,,5.00,8.50,8.50,7.33
13,11000014,2.60,2.75,,,,,,2.50,2.00,,1.50
14,11000015,6.80,8.25,5.00,,,,,7.25,7.50,8.50,7.75
15,11000016,2.80,5.75,2.20,,,,,6.75,7.25,7.75,7.25
16,11000017,3.80,5.50,1.80,,,,,5.50,7.50,9.00,7.33
17,11000018,4.80,6.75,2.40,,,,,3.75,7.75,8.50,6.67
18,11000019,7.20,5.25,5.00,,,,,7.75,8.50,9.25,8.50
19,11000020,2.80,3.75,2.20,,,,,3.00,6.25,5.75,5.00
20,11000021,5.00,5.25,2.00,,,,,5.25,6.75,8.00,6.67
21,11000022,7.20,7.50,3.40,,,,,4.25,8.25,8.75,7.08
22,11000023,4.80,4.75,1.20,,,,,2.75,6.50,8.75,6.00
23,11000024,3.40,4.50,2.40,,,,,5.50,6.50,9.25,7.08
24,11000025,6.80,6.50,,,,,,6.25,6.50,,4.25
25,11000026,1.80,5.25,2.80,,,,,6.00,7.25,7.75,7.00
26,11000027,6.40,5.25,4.20,,,,,5.50,7.50,9.75,7.58
27,11000028,6.40,8.25,3.80,,,,,8.25,7.75,9.50,8.50
28,11000029,5.60,6.75,3.40,,,,,5.25,6.75,9.25,7.08
29,11000030,2.80,3.25,,,,,,4.25,5.25,,3.17
30,11000031,6.40,6.25,3.80,,,,,7.25,8.25,9.25,8.25
31,11000032,2.60,5.25,,,,,,6.00,7.50,,4.50
32,11000033,3.80,5.50,3.20,,,,,4.50,7.00,8.25,6.58
33,11000034,7.20,8.00,2.60,,,,,5.50,8.25,9.50,7.75
34,11000035,7.20,6.25,6.00,,,,,7.75,8.50,9.75,8.67
35,11000036,5.20,5.25,2.60,,,,,5.25,7.25,8.50,7.00
36,11000037,,6.50,,,,,,8.25,8.25,,5.50
37,11000038,3.40,4.50,2.80,,,,,5.00,6.75,9.50,7.08
38,11000039,6.20,5.50,3.00,,,,,5.00,8.25,8.50,7.25
39,11000040,2.20,3.25,,,,,,5.75,7.75,,4.50
40,11000041,5.60,3.75,2.80,,,,,4.25,7.50,8.50,6.75
41,11000042,2.80,4.75,3.20,,,,,4.75,7.00,8.50,6.75
42,11000043,7.40,6.00,4.80,,,,,6.75,8.25,8.75,7.92
43,11000044,8.40,5.00,4.20,,,,,6.00,8.50,9.75,8.08
44,11000045,6.20,6.00,6.40,,,,,6.25,7.50,8.75,7.50
45,11000046,7.00,5.25,3.80,,,,,5.25,7.75,9.25,7.42
46,11000047,6.40,5.00,3.00,,,,,5.50,7.50,8.75,7.25
47,11000048,5.40,5.50,2.60,,,,,6.50,7.75,8.50,7.58
48,11000049,3.40,4.00,2.60,,,,,5.50,8.50,7.50,7.17
49,11000050,7.60,8.25,4.20,,,,,,,,
50,11000051,6.40,7.25,5.00,,,,,7.25,9.00,9.00,8.42
51,11000052,7.20,5.58,4.20,,,,,7.50,9.50,9.00,8.67
52,11000053,,7.25,,,,,,7.50,9.25,,5.58
53,11000054,5.60,5.75,3.20,,,,,6.50,8.50,9.50,8.17
54,11000055,4.20,4.25,3.00,,,,,5.00,6.50,9.00,6.83
55,11000056,4.80,4.00,2.80,,,,,3.75,6.25,7.75,5.92
56,11000057,6.80,6.00,5.40,,,,,,,,
57,11000058,5.60,7.25,3.00,,,,,6.50,8.75,9.50,8.25
58,11000059,6.20,6.00,2.40,,,,,8.00,9.00,9.00,8.67
59,11000060,7.80,7.50,4.60,7.75,8.00,6.25,7.33,,,,
60,11000061,3.80,4.92,,,,,,4.75,4.75,,3.17
61,11000062,6.20,6.00,2.80,,,,,6.00,7.00,9.25,7.42
62,11000063,4.80,4.00,3.20,,,,,5.00,8.25,8.50,7.25
63,11000064,7.40,8.50,5.20,,,,,9.00,8.50,9.50,9.00
64,11000065,5.20,6.00,3.00,,,,,8.00,7.75,8.50,8.08
65,11000066,5.00,4.50,2.80,,,,,5.75,7.75,7.75,7.08
66,11000067,5.20,4.00,4.20,,,,,5.50,6.00,8.50,6.67
67,11000068,5.20,4.50,2.80,,,,,5.75,7.25,8.25,7.08
68,11000069,,6.50,,,,,,7.25,8.00,,5.08
69,11000070,5.60,5.75,2.60,,,,,4.00,6.50,8.50,6.33
70,11000071,6.40,5.50,4.00,,,,,5.50,8.25,9.00,7.58
71,11000072,2.40,3.75,2.80,,,,,3.75,6.50,,3.42
72,11000073,7.80,7.00,2.60,,,,,6.50,7.75,9.00,7.75
73,11000074,6.00,5.50,2.20,,,,,5.50,8.00,8.75,7.42
74,11000075,5.00,5.50,3.20,,,,,5.75,7.25,8.75,7.25
75,11000076,4.40,5.50,2.20,,,,,4.50,7.75,8.25,6.83
76,11000077,7.40,7.75,2.80,,,,,5.25,8.25,9.00,7.50
77,11000078,4.80,7.25,2.20,,,,,7.25,9.00,9.25,8.50
78,11000079,6.60,8.00,5.40,,,,,8.75,9.50,9.50,9.25
79,11000080,6.00,7.25,3.80,,,,,7.00,7.75,9.50,8.08
80,11000081,4.80,5.75,3.60,,,,,2.75,7.50,8.50,6.25
